mediSpanDrug,mediSpanDisease
medispan:C0693498,medispan:C0033806
medispan:C0773493,medispan:C0033806
medispan:C0688743,medispan:C0033806
medispan:C0688435,medispan:C0035335
medispan:C0688436,medispan:C0035335
medispan:C0590168,medispan:C0035344
medispan:C0692801,medispan:C0035344
medispan:C0712336,medispan:C0035344
medispan:C0773509,medispan:C0035344
medispan:C0773522,medispan:C0035344
medispan:C0773525,medispan:C0035344
medispan:C0773526,medispan:C0035344
medispan:C0773529,medispan:C0035344
medispan:C0590167,medispan:C0035344
medispan:C0770569,medispan:C0035344
medispan:C0773527,medispan:C0035344
medispan:C0704129,medispan:C0035528
medispan:C0704130,medispan:C0035528
medispan:C0704131,medispan:C0035528
medispan:C0704128,medispan:C0035528
medispan:C0773610,medispan:C0035528
medispan:C0688373,medispan:C0037769
medispan:C0688374,medispan:C0037769
medispan:C0688375,medispan:C0037769
medispan:C0704895,medispan:C0037769
medispan:C0356471,medispan:C0038325
medispan:C0356472,medispan:C0038325
medispan:C0688489,medispan:C0038325
medispan:C0688490,medispan:C0038325
medispan:C0688492,medispan:C0038325
medispan:C0688493,medispan:C0038325
medispan:C0688495,medispan:C0038325
medispan:C0688496,medispan:C0038325
